,directory,hotel,review,score,sentiment
20,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/294821427.html,Amsterdam Inn &amp; Suites Moncton,"""My husband and I were in Moncton for a concert. Had not originally planned to stay the night but mid afternoon changed our minds. We checked the hotel we usually stay at and they were full. So we headed to Amsterdam inn and are glad we did. \nGot a good price (there were only 2 rooms left), and the room was super clean and spacious. Beds so comfy that I could have stayed for days. Friendly staff and good coffee. We didn't have the continental breakfast but many were enjoying it. Will definitely stay here again.",5,positive
21,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/565413093.html,Amsterdam Inn &amp; Suites Moncton,"""Stayed there and the rooms are very clean which is a huge bonus.  Check in was very easy and Andrea was very pleasant.  D\u00E9cor very nice.  Room small--reminded me of our room in NYC.  Breakfast was very good--lots to pick from.",4,positive
22,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/98531557.html,Amsterdam Inn &amp; Suites Moncton,"""My husband and I stayed at the Amsterdam Inn for the first time for Valentines Day\u002F2nd anniversary...we chose the location as it is VERY handy to the Casino, and we had tickets for a concert at that venue.  I was SHOCKED at the negative reviews on this hotel once we had spent our weekend there.  \nThe rooms are spotless...small, but really--how much room do you need? We had a queen bed and a lounge area (couch, table) in the room as well, so at least you weren't stuck sitting on the bed all the time.  There was a little balcony for each room on the bottom floor as well. \nThe staff were friendly and very helpful, and we had absolutely no issues with our reservation, or even when we accidentally checked out late (we had assumed check-out was 12 noon---its at 11am, just for some FYI...not the hotel's fault, but ours.)\nWe are hoping to book this hotel again in March for another concert.  Don't put any stock in the negative on this hotel. The value is fabulous, you're close enough to the casino to walk (about 5 min--you can see the hotel from the Amsterdam Inn..its in the next lot) and if you choose to head out for some shopping, you're approximately 15-20 min down Mountain Rd away from any shops and Champlain Place.",4,positive
23,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/283245903.html,Amsterdam Inn &amp; Suites Moncton,"""The hotel was very friendly and helpful. The room was spacious and had an outdoor space for sitting outside the room. There was plenty of parking and the Wi-Fi worked very well. The breakfast was good. Close to all amendities.\n",5,positive
24,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/163024146.html,Amsterdam Inn &amp; Suites Moncton,"""Absolutely no complaints.  Based on other travellers review we recently stayed here. Perfect location to the Hopewell Caves, and the Moncton area.  Even though the Inn is located next door to Moncton Casino, it is very quiet, and a well kept area.  The staff were so accommodating, rooms were spotless, beds were very comfortable, parking right at our door which had a lovely little deck to sit out on and breakfast excellent. Would recommend to anyone and look forward to a return visit.  Top of our value list for the price.",5,positive
25,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/154585304.html,Amsterdam Inn &amp; Suites Moncton,"""The  Amsterdam Inn is very clean and comfortable.  The staff is friendly and helpful.  Conveniently located near the Trans-Canada highway.  Restaurants are only a few minutes away.  Excellent value.\n\nThe drive up rooms are nice.  Breakfast area is clean.  Continental breakfast is pretty ordinary and comparable to most other hotels of this price range.\n\nBeds are great - you should sleep well\n.",5,positive
26,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/699214931.html,Amsterdam Inn &amp; Suites Moncton,"""Had a great day with our young family of 5 and was very grateful for a room here. Staff are very friendly. 2 very comfortable queen beds and a comfy cot sent us all into a perfect sleep. Hot showers and a delicious breakfast made our stay perfect.",5,positive
27,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/656143908.html,Amsterdam Inn &amp; Suites Moncton,"""Excellent stay for work!  The property is modern, clean and immaculate. The staff are exceptionally friendly and helpful. Excellent breakfast to start the day. I would highly recommend this property. The location is close to the highway and there are many food establishments nearby.",5,positive
28,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/118173619.html,Amsterdam Inn &amp; Suites Moncton,"""Service excellent, friendly staff clean room, modern...we recommend",5,positive
29,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/57347061.html,Amsterdam Inn &amp; Suites Moncton,"""Although this hotel is not in the down town area, the service and FREE breakfast in the morning makes up for any inconvenience one may feel.\n\nLocated next to the new Casino that is currently going up next door, I am sure it is going to be a very popular place to stay when in town for gambling or whatever.\n\nThe downside is that you need a vehicle because besides the casino there are no attractions close by besides Magic Mountain down the road.",5,positive
30,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/562461768.html,Amsterdam Inn &amp; Suites Moncton,"""This hotel has been recently renovated. My work crew wanted to book it for a conference and I was hesitant at first but now I plan to stay there every time in in Moncton. Nice clean rooms, good breakfast and it's so great to be able to walk outside to your vehicle right from your room! ",5,positive
31,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/748592890.html,Amsterdam Inn &amp; Suites Moncton,"""I had to make an unexpected stop in Moncton and I stayed at this hotel for one night.  The only drawback is there is no elevator.  Otherwise, room was very clean, two queen size beds, and free breakfast. Great location, close to shopping and casino.  Price was $69.95 plus tax.  Great value.  Will stay there again on my next trip to Moncton.",4,positive
32,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/140023580.html,Amsterdam Inn &amp; Suites Moncton,"""The front desk staff at the Moncton Amsterdam Inn location is first rate - friendly, accommodating, make you feel like friends not just guests.  Rooms are clean and well equipped.  When my friend and I were playing a game in the breakfast area late one evening, we were told we could have a bowl of cereal if we wanted one.  Another staff member make a fresh pot of decaf coffee for us.  What hotel\u002Fmotel does that!!!  My elderly mother who was with us had some needs which were taken care of by our being able to use the room for those with any handicap - it was a bit crowded with the extra cot, but the service was worth it!!!   Jerry does a late night walk around the building to make sure all is O.K. - that was great since we were on the first floor.",5,positive
33,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/130436116.html,Amsterdam Inn &amp; Suites Moncton,"""We stayed at the Amsterdam Inn with our son, we took the suite with a king bed and a bunk bed for the kid. It was very confortable, clean and the choice for breakfast was great !",4,positive
34,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/164545525.html,Amsterdam Inn &amp; Suites Moncton,"""Can't go wrong staying here. Staff is exceptional, as was the room and breakfast. Easy access from the highway. Only thing that would have made it better would be an elevator to the second floor. \n\nAll white bed linen were crisp, soaps had Shea butter.  Only wish they had these outside of New Brunswick.",5,positive
35,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/526617017.html,Amsterdam Inn &amp; Suites Moncton,"""Spent one night on the way home. The rooms were clean, beds were very comfortable and it was quiet though on a busy street. The breakfast - included in the price- was more than adequate. The only drawback was the lack of an elevator to the second floor which could be problematic for someone unable to carry their bags up the stairs.",5,positive
36,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/660844717.html,Amsterdam Inn &amp; Suites Moncton,"""We stayed two nights for a weekend getaway. The hotel was great value. If you're budget conscious this is the place for you. Rooms were clean and modern. Comfortable bed, easy to adjust room temperature,  plenty of hot water and water pressure for shower. \n\nThe free hot breakfast was as good as any higher priced hotel we've stayed at and we saw more staff keeping things clean and replenished then in some places we've stayed.\n\nFree parking and great location for us to visit theatre, restaurants and of course the casino next door.\n\nThere are two floors with no elevator. Bottom floor rooms opened up to your own deck which I'm sure would be nice in better weather.  There is no pool, spa or fitness centre so be aware of that if those are important to you.",5,positive
37,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/521358872.html,Amsterdam Inn &amp; Suites Moncton,"""Great place to stay. No elevator no problem. Rooms are clean, bathrooms clean too! Condition in the place is awesome. A staff was even wiping dusting down the top of all the paintings, you don't see that often. Breakfast was good and they are very quick with cleaning and providing good service while you're eating. Very enjoyable experience. Would recommend this place to anyone. We stayed on the top floor. Bottom floor are suites that goes out to parking. ",5,positive
38,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/401892191.html,Amsterdam Inn &amp; Suites Moncton,"""Will definitely stay here again. Friendly and helpful staff. Room was clean and comfortable. Our ground floor drive up room also had a small deck with chairs. Easy access from the highway. Very good value.",5,positive
39,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/706076158.html,Amsterdam Inn &amp; Suites Moncton,"""We slept there after a short trip to Halifax, price was great and reviews were good so I decided to give them a try and I haven't been deceived. Room was clean, hotel was quiet and staff were nice, beds were also comfy and they do offer a good choice for breakfast. It is also located right behind the Casino, so if you plan a night at the Casino and you want to have a few drinks without taking your car or pay for taxi, and if you don't mind an hotel without pool, you may want to consider this hotel. I know I will return, was a short stay but I enjoyed it.",4,positive
40,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/701401084.html,Amsterdam Inn &amp; Suites Moncton,"""We stayed one night in the Amsterdam Inn & Suites on our way from Boston to PEI. The hotel was clean, the staff was friendly, and the beds were super comfortable. The hotel is set up like a cross between a hotel and a motel, with an inside lobby connected to a central hallway with inside doors for each room, as well as outside doors to each room that lead to the parking lot for easy car access, so you could get the best of both worlds. Included hot breakfast was serviceable and well stocked. Conveniently located across from the casino (though we didn't visit), as well as many shops and restaurants on Mountain Road. I would definitely consider staying at this hotel again on future visits to Moncton.",5,positive
41,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/523273077.html,Amsterdam Inn &amp; Suites Moncton,"""This is a terrific hotel which is right next to the Casino and it is quite a bit cheap to stay here.  Just walk across the parking lot.  We stayed in a main floor room and it had a nice porch with adirondack chairs.  The room was updated and spotless!  The nice thing about these rooms is that they have access from outside or the inside hallway which leads to the large breakfast area.  There was a full hot breakfast with lots of selection and it is nice that there is a lot of seating.  The front desk staff were terrific and very efficient.  There aren't a lot of restaurant options in the immediate area but just go over to the casino and sign up for a free reward card and get a good discount in their restaurant (recommended by the hotel staff).",5,positive
42,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/527598483.html,Amsterdam Inn &amp; Suites Moncton,"""Managed to get a room at this Moncton Inn and once again perfect. Nice and quite, spotlesly clean, enjoyable breakfast, friendly and helpful staff. Having stayed at the Sussex Amsterdam Inn & Suites I had no worries about booking the Moncton Amsterdam Inn. There is no lift to the second floor so if you can't manage stairs ask for a first floor room",5,positive
43,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/371144382.html,Amsterdam Inn &amp; Suites Moncton,"""Thank you to the Amsterdam Inn & Suites for a comfortable stay, clean and quiet room plus a great location for our meeting!   The hospitality was over the top with ensuring all details needed for our meeting were met.",4,positive
44,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/119263147.html,Amsterdam Inn &amp; Suites Moncton,"""Had a great stay this past weekend!  Staff were very helpful, room was spacious and clean and an excellent breakfast was included.  Will stay there again the next time we're in Moncton.",5,positive
45,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/154974055.html,Amsterdam Inn &amp; Suites Moncton,"""We attend the fly fishing forum in Dieppe every year.  The Amsterdam Inn is only a 7 or 8 minute drive to the Coliseum.  It is also only five minutes from a great shopping districe (Costco, Homesense, Winners, etc).  The hotel is very clean and the beds are wonderful.  The staff was very friendly and helpful.  We also really appreciated the drive up room on the main floor, when you have a lot of shopping bags or items for work to carry this makes life much easier.  We will definitely go back and recommend it to friends and clients.",5,positive
46,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/399345388.html,Amsterdam Inn &amp; Suites Moncton,"""We were travelling through Moncton on our way to PEI. What a quaint little hotel. We had a walk up room so we had a small porch with a chair and could sit out. The room was extremely clean and comfortable. The beds were very comfy and there was a huge television. The staff was friendly. The hotel is located right off the hiway. There is a free continental breakfast which was your typical but good. We ate dinner in the casino which was directly beside the hotel and the food was actually pretty good. The server there was a bit distracted but efficient. I loved this place and it's where we will stay next time in Moncton!",5,positive
47,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/500021144.html,Amsterdam Inn &amp; Suites Moncton,"""Was able to get a last minute room here on a busy week end. I though that the price was a little high for this kind of hotel in Moncton NB, but later found out that this was a car show week end, not sure but maybe they put the prices up for that.  I also found it odd that at about 6:30 on my day of arrival I got a phone call asking if we were showing up, the room was booked with a credit card and basically paid for, plus 6:30pm is not like your late? Maybe because it was so busy in Moncton they had people on a wait\u002Fcancellation list?\nEasy enough to find. Outside is nice, I like that some of the rooms have a deck, although it is not private and you do share with the room next to you.   Our shared deck was occupied by the room next to us so we did not use it. Plus it is overlooking a parking lot, so not much to see in that regard.  They have nice flowers and chairs.\nCheck in was fairly easy. \nI did not realize on booking that I had a \""family suite\"" which included a main room and a door less room with a set of bunk beds. This was not required since it was just myself and my 16 year old daughter, however she did sleep in there, she did not find it to be overly comfortable beds. Best suited for younger children, who I am sure would get a kick out of that kind of set up. I though that the main bed was quite comfortable.  The room is lacking in plugs, again probably because it is older, but that could be solved with some docking stations on the night stands. We had multiple electronics and phones, and insufficient places to plug them in. Bring an extension cord. \nThis is an old hotel\u002Fmotel with some drive up rooms which also share hall access with the rest of the hotel. \nIt is VERY clean, well maintained but it is old style hotel, and the furnishes and the flooring and the decor match that, all dated.  I feel like they have made some attempts to update, noting that there are updated TV's, etc. but it is dated. Again I would say that it is VERY clean, pristine really, they really are making an attempt but it is time to bring it into the new century. \nThere is not much direct around here, a couple other hotels, which might have restaurants, but if you were looking for food you would have to drive.  Although not far, just up Mountain Road. It is close to Magic Mountain and the Casino. \nThis hotel also includes breakfast which we did not have. I did appreciate the in suite microwave, bar fridge and coffee machine. \nFound the it noisy in the morning, you can hear every thing and everyone. Above you, next to you, in the hall, outside. NOISY.\nDecent hotel. Clean but dated, but well maintained. \nCheck out was poor. I ended up leaving my keys on the desk, noting that there were other clients being served however no one acknowledged me and after about 10 mins standing there, I just put the key cards down and left. \nI personally would probably not stay here again , the price is too high for a  hotel that basically has no amenities, especially given there is a lot of choice in Moncton including some newer places for similar pricing that just offer more.",3,negative
48,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/300560149.html,Amsterdam Inn &amp; Suites Moncton,"""The Amsterdam hotel sets the bar when looking at a sea of hotel options. It's staff is both friendly and helpful. Their beds are exceptional (more comfortable than my bed at home). Their breakfast is average but done right, it is what you expect to get at a continental breakfast. Overall a wonderful experience, I wouldn't hesitate to return.",5,positive
49,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/157721472.html,Amsterdam Inn &amp; Suites Moncton,"""I had a great stay for a good price, Was able to walk ton Casino in 5 minutes and bypass highway was 2 minutes away which saved you alot off time from going down Mountain Road. The was nice and clean and quiet and they provided a continental breakfast.",4,positive
50,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/299692080.html,Amsterdam Inn &amp; Suites Moncton,"""We were just on our way home and needed a place to stay.  My husband  suggested holiday Inn express because that is usually my favorite, but they were full so I suggested the Amsterdam  Inn. I'm happy I did because everything was perfect.  It was so clean and  comfortable.  The beds and  bed covers were very nice. I cannot  think of a single complaint. Breakfast was good, but fairly  simple, boiled eggs,  yogurt, cereal...",5,positive
51,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/45951489.html,Amsterdam Inn &amp; Suites Moncton,"""Loved staying here!! The breakfast was great, the waffles are amazing. It was very clean! I would return here no problem, great place to stay!!",5,positive
52,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/678651729.html,Amsterdam Inn &amp; Suites Moncton,"""My friend and I went to Moncton shopping and decided to stay overnight.  We arrived before regular check in time but,they allowed us to have our room and drop off our luggage. It was very clean with comfortable beds.  Bathroom amedities were nice too.  They had lotsof breakfast options, bagels, toast, eggs, bacon, sausage, hash browns & baked beans.  Different a derails, fruits, cream cheese, jams.  Different peso feta and coffee.  We enjoyed out stay and will be back!  Thank you to the staff!",4,positive
53,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/464832928.html,Amsterdam Inn &amp; Suites Moncton,"""We arrived on a Thursday for 2 nights. Check in and check out were both very quick and efficient, and staff were friendly and answered questions easily. Finding the drive-up room was a task as we arrived after dark in a snow flurry and the room numbering was not illuminated or reflective so had to go back to the desk to ask. I suggest they have a look at this and change the numbering. The room itself was very clean and laid out as advertised. Beds & pillows were comfortable, TV was very good, bathroom was modern. The continental brekkie was also quite good, hot drinks, juices, hard boiled eggs, bread & pastries, yoghurt, cereals. The dining space itself was quite small, lucky for us they weren't packed as even 6 or 8 people eating at the same time clogged up the service area. All in all, for the price we paid this was great value and perfectly suited to our requirements and we would consider staying again.",3,negative
54,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/117900364.html,Amsterdam Inn &amp; Suites Moncton,"""I dislike roadside motels and hotels, their sameness is depressing or worse they tend to go from standard to less than acceptable, rather than the otherway round, and in spite of the chain promises to always meet a certain standard, they often dont. Anyway we were pleasnatly surprized by this hotel just off the highway in Moncton. The rooms were clean, the service good, the staff helpful and we had our own little deck, with flower boxes off our main floor room. Rates were reasonable (booked through the New Brunswick tourist offices, who get a deal).A standard higher than acceptable.",4,positive
55,/Users/chuchu/Documents/MIE 1513/assignment-sa-winter-chuchu0428/data/ca/154958/601492/707883996.html,Amsterdam Inn &amp; Suites Moncton,"""Right off the highway and around the corner from Magnetic Hill.  The place is clean and the breakfast is decent.  Don't be decieved by the motel style building.\n\nThe casino is near it too.  \n\nThe furniture and carpet could use some updating though.",4,positive
